,address,description,detail,lat,lng,name,rating,total_review
283,"553 W 51st St, New York City, NY 10019-5004","Founded in 1972, Irish Arts Center is an arts and cultural center dedicated to projecting a dynamic image of Ireland and Irish America for the 21st century. Our multi-disciplinary programming includes: Performance (live music, dance, theatre, film, literature) Exhibition (visual arts and cultural presentations) and Education (multiple classes in Irish language, history, music, and dance).åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ     ",-999,40.766384,-73.99351,Irish Arts Center,4.5,2
284,"325 Bowery, Corner of the Bowery and 2nd Street, New York City, NY 10003-8962",-999,Recommended length of visit: <1 hour,40.725628,-73.992,Joey Ramone Place,4,3
285,"41 1/2 2nd Ave, New York City, NY 10003-8632",-999,Recommended length of visit: 1-2 hours,40.72524,-73.99035,New York Marble Cemetery,3.5,4
286,"Sixth Avenue, New York City, NY",-999,Recommended length of visit: 1-2 hours,40.742905,-73.9928,East Village,3.5,3
287,"209 Madison Avenue, New York City, NY 10016",-999,-999,40.7486,-73.98202,Church of the Incarnation,4,4
288,"New York City, NY","Located at Ellis Island, this memorial wall pays tribute to the more than 500,000 people who came through Ellis Island Immigration Station.    ",-999,-999,-999,American Immigrant Wall of Honor,4.5,2
289,"337 E 74th St, New York City, NY 10021-3792",-999,-999,40.769665,-73.95628,Holy Trinity Greek Orthodox Cathedral,4.5,2
290,"60 E 66th St, New York City, NY 10065-6540",-999,Recommended length of visit: <1 hour,40.767414,-73.96742,Adam Baumgold Gallery,4.5,2
291,"1573 Madison Ave, New York City, NY 10029-3819",-999,Recommended length of visit: <1 hour,40.793747,-73.94857,Graffiti Hall of Fame,4,2
292,"432 W 44th St, New York City, NY 10036-5205",-999,-999,40.76021,-73.99331,The Actors Studio,4.5,2
293,"435 W Broadway, New York City, NY 10012-5902",-999,-999,40.72554,-74.00091,Franklin Bowles Gallery NYC,4.5,2
294,"Broadway, New York City, NY",-999,-999,40.69887,-73.93862,Canyon of Heroes,4.5,2
295,"New York City, NY",-999,-999,-999,-999,World Trade Center Station (PATH),4,2
296,"18 West 53rd Street New York, NY, 10019, New York City, NY 10019",-999,Recommended length of visit: 1-2 hours,40.7609,-73.97736,53rd Street Public Library,5,1
297,"330 Hudson St, Ground Floor, New York City, NY 10013","Cadillac House is a public place that functions as an art gallery, retail space, cafe and exhibition area for the brand‰Ûªs flagship vehicles where innovators, creators and the curious can find inspiration‰ÛÓand one another. Cadillac House is located at 330 Hudson Street, on the ground floor of Cadillac's new NYC headquarters. It is open on weekdays from 7am - 7pm and on weekends from 10am - 7pm.     ",-999,40.727108,-74.007225,Cadillac House,5,1
298,"West side of Lower Manhattan, New York City, NY",-999,Recommended length of visit: 2-3 hours,40.72795,-73.95318,Greenwich Village,5,1
299,"Broadway at 73rd St, Verdi Square, New York City, NY",-999,Recommended length of visit: <1 hour,-999,-999,Giuseppe Verdi Monument,5,2
300,"82-30 Cypress Hills Street, Ridgewood, Queens, New York, New York City, NY 11385",-999,Recommended length of visit: 1-2 hours,40.69363,-73.884445,"Machpelah Cemetery, site of Houdini's grave",5,1
301,"30 E 7th St, New York City, NY 10003-8254",-999,-999,40.728413,-73.989876,St. George Ukrainian Catholic Church,5,1
302,"310 E 42nd St, New York City, NY 10017-5905",-999,Recommended length of visit: 1-2 hours,40.749348,-73.971855,Church of the Covenant,5,1
303,"6 1/2 Avenue, Pedestrian Arcade, New York City, NY 10019",-999,Recommended length of visit: <1 hour,-999,-999,6 1/2 Avenue,5,1
304,"47 E 65th St # 49, Hunter College, New York City, NY 10065-6508",-999,Recommended length of visit: <1 hour,40.76712,-73.96768,Roosevlet House,5,1
305,"37 Walker St, New York City, NY 10013-3513",-999,Recommended length of visit: <1 hour,40.719143,-74.004074,SUMO,5,1
306,"165 Waverly Pl, 2F, New York City, NY 10014-6837",-999,-999,40.73368,-74.00133,The Northern Dispensary,5,1
307,"1345 Avenue of the Americas, 30th Floor, New York City, NY 10105-0302",-999,Recommended length of visit: 1-2 hours,40.76299,-73.979065,"Rubenstein Communications, Inc.",5,1
308,"2320 Frederick Douglass Blvd et 125th, New York City, NY 10027-3613",-999,-999,40.81016,-73.951195,United House of Prayer for All People,5,1
309,"7-11 Willet St, New York City, NY 10002",-999,-999,40.71554,-73.98332,Bialystoker Synagogue,5,1
310,"3080 Broadway, New York City, NY 10027-4650",-999,-999,40.81187,-73.96068,The Jewish Theological Seminary,5,1
311,"140 West St., New York City, NY",Description: This Art Deco edifice is known for the bas-relief murals in its lobby.   This Art Deco edifice is known for the bas-relief murals in its lobby.    ,-999,40.713802,-74.013,New York Telephone Company Building,5,1
312,"Madison Avenue, New York City, NY","Formed by five luxury boutiques, this five-block stretch of Madison Avenue features a rich concentration of crystal decorative objects and jewelry.    ",-999,40.777637,-73.96116,Crystal District,4.5,2
313,"428 Lafayette St # 434, New York City, NY 10003-6914",-999,-999,40.72918,-73.99247,Colonnade Row,4.5,2
314,"2226 Adam Clayton Powell Jr Blvd, New York City, NY 10027-7892",-999,-999,40.813057,-73.9458,Shiloh Baptist Church,4,2
315,"Fifth Avenue at 42nd Street, New York City, NY 10018-2788",-999,-999,40.75348,-73.98088,Stephen A. Schwarzman Building,4,3
316,"Chase Manhattan Bank Plaza, New York City, NY",-999,-999,40.70732,-74.00959,Jean Dubuffet - Group of Four Trees,3.5,4
317,"102 W 116th St, New York City, NY 10026-2500",-999,-999,40.80206,-73.95019,Masjid Malcolm Shabazz Mosque,3.5,3
318,"371 Sixth Avenue, New York City, NY 10014",-999,Recommended length of visit: <1 hour,40.732613,-74.00054,St. Joseph's Church in Greenwich Village,3.5,2
319,"667 Madison Avenue, At 61st Street, New York City, NY 10065",-999,-999,40.76459,-73.97049,Lady Liberty,4,1
320,"61 Henry Street, New York City, NY 10002",-999,Recommended length of visit: <1 hour,40.71308,-73.99494,First Chinese Presbyterian Church of New York City,4,1
321,"East 60th Street and FDR Drive, Andrew Haswell Green Park, New York City, NY 10021",-999,-999,40.75907,-73.9586,East River Roundabout,4,1
322,"62nd Street, New York City, NY",-999,Recommended length of visit: <1 hour,40.7711,-73.98339,Gapstow Bridge,4,1
323,"28th Street and Fifth Avenue, Between Fifth and Sixth Avenues, New York City, NY 10001",-999,-999,40.744686,-73.987305,Tin Pan Alley,4,1
324,"103 Street and FDR Drive, New York City, NY 10029",-999,Recommended length of visit: <1 hour,40.785595,-73.94018,Wards Island Pedestrian Bridge,4,1
325,"865 Madison Avenue, New York City, NY 10021",-999,Recommended length of visit: <1 hour,40.771164,-73.96557,St. James Episcopal church,4,1
326,"West Street, Pier 25, New York City, NY 10013",-999,Recommended length of visit: <1 hour,40.721924,-74.01194,Lilac,4,1
327,"329 W 42nd St, New York City, NY 10036-6907",-999,Recommended length of visit: <1 hour,40.75818,-73.99116,Holy Cross Church,4,1
328,"122 E 88th St, New York City, NY 10128-1141",-999,Recommended length of visit: <1 hour,40.780846,-73.955124,Immanuel Lutheran Church,4,1
329,"61 Gramercy Park N, New York City, NY 10010-5406",-999,Recommended length of visit: <1 hour,40.73893,-73.9868,Calvary-St. George,4,1
330,"210 Joralemon St, New York City, NY",-999,Recommended length of visit: <1 hour,40.69199,-73.99039,Brooklyn Municipal Building,4,1
331,"331 Riverside Dr, New York City, NY 10025-9114",-999,Recommended length of visit: 1-2 hours,40.80168,-73.970184,New York Buddhist Church,4,1
332,"155 Sullivan St, New York City, NY 10012-3001",-999,Recommended length of visit: <1 hour,40.72718,-74.001236,St. Anthony of Padua,4,1
333,"10 Leroy St, Manhattan‰Ûªs Greenwich Village, New York City, NY 10014-3905","The external image of the Cosby house can be found at 10 Leroy Street. The brownstone townhouse makes multiple appearances in the famous television sitcom. While entrance into the building is not an option, this external architecture presents a lovely photo opportunity.     ",Recommended length of visit: <1 hour,40.7308,-74.0032,Cosby House,4,1
334,"249 W 132nd St, Harlem, New York City, NY 10027-7896",-999,-999,40.814243,-73.94653,Saint Paul Baptist Church,4,1
335,"550 W 155th St, New York City, NY 10032-7899",-999,-999,40.832127,-73.94525,Church of the Intercession,4,1
336,"West 122nd at Fifth Avenue, Marcus Garvey Park, New York City, NY 10027",-999,-999,40.79718,-73.94904,Harlem FIre Watchtower,4,1
337,"37 W 57th St, 2nd floor, New York City, NY 10019-3411","Edward Tyler Nahem has been a prominent international art dealer for over 25 years. His gallery, Edward Tyler Nahem Fine Art, specializes in Modern, Post-War and Contemporary art.    ",-999,40.76409,-73.97595,Edward Tyler Nahem Fine Art,4,1
338,"19th Street Between 3rd Ave. & Irving Pl, Gramercy Park, New York City, NY 10003",-999,-999,40.73764,-73.98611,Block Beautiful,4,1
339,"East 127th Street between Fifth and Madison Avenues., New York City, NY",-999,-999,40.807037,-73.93969,Langston Hughes House,4,1
340,"133 Macdougal St, New York City, NY 10012-1076",-999,-999,40.730755,-74.00001,Provincetown Playhouse,4,1
341,"1 North End Ave., New York City, NY",Description: This is the chaotic center for commodities trading.,-999,40.71452,-74.01685,New York Mercantile Exchange,4,2
342,"Near 42nd Street and Fifth Avenue, Behind New York Public Library, New York City, NY 10017",-999,Recommended length of visit: <1 hour,40.753487,-73.98088,William Cullen Bryant Statue,3,2
343,"111 Worth St Apt 4G, Foley Square, New York City, NY 10013-4017",-999,Recommended length of visit: <1 hour,40.71434,-74.00261,Triumph of the Human Spirit,3,2
344,"New York City, NY",-999,-999,-999,-999,Bond Street,3,2
345,"110 Park Avenue / 85th St., New York City, NY",-999,-999,40.7513,-73.97859,Park Avenue Christian Church,3.5,3
346,"411 East 66th Street, & 1st Avenue, New York City, NY 10065",-999,Recommended length of visit: <1 hour,40.76381,-73.95809,St. John Nepomucene,3,1
347,"242 W 41st St, New York City, NY 10036-7203",-999,Recommended length of visit: More than 3 hours,40.75603,-73.98937,The Times Center,3,1
348,"New York City, NY 10467",-999,-999,-999,-999,Throgs Neck Bridge,3,1
349,"530 W 22nd St, New York City, NY 10011-1108",-999,-999,40.747402,-74.00614,Sikkema Jenkins Company,3,1
350,"60 William St, New York City, NY 10005-1503",-999,-999,40.707016,-74.00872,Our Lady of Victory Church,3,1
351,"815 2nd Ave # 7, New York City, NY 10017",-999,-999,40.75085,-73.97183,Episcopal Church Center,3,1
352,"171 Riverside Dr, New York City, NY 10024",-999,-999,40.791695,-73.97878,Soldiers' and Sailors Monument New York,3,4
353,"64 Mott St, Chinatown, New York City, NY 10013-4811",-999,Recommended length of visit: <1 hour,40.71602,-73.99801,Eastern States Buddhist Temple of America,2.5,5
354,"Seventh Avenue, New York City, NY",-999,-999,40.75321,-73.98902,Mount Neboh Baptist Church,2.5,29
355,"141 W 115th St, New York City, NY 10026-2999",-999,-999,40.8024,-73.95207,Memorial Baptist Church,2,6
356,"2605 Frederick Douglass Blvd, New York City, NY 10030-2142",-999,-999,40.818996,-73.945076,Tatiana Pages Gallery,-999,-999
357,"18 W 77th St, New York City, NY 10024-5101",-999,-999,40.779675,-73.97439,"Leo Costelli Gallery, new york city, usa",1,1
358,"113 Baxter Street / 109 Mulberry Street, New York City, NY 10012",-999,-999,40.71765,-73.99854,Church of The Most Precious Blood,-999,-999
359,"60 e 2nd, New York City, NY",-999,Recommended length of visit: <1 hour,40.72461,-73.98896,New York City Marble Cemetery,-999,-999
